employee_id,area,home_lat,home_lon,age,salary_band,has_car,has_transit_pass_already,home_office_days_per_week,eco_affinity
E0001,St. Georg / Altstadt,53.566912,10.011388,47,junior,True,False,1,0.462
E0002,Schnelsen,53.629905,9.928277,37,mid,True,True,2,0.054
E0003,Billstedt,53.52205,10.040079,35,junior,False,False,2,0.634
E0004,Barmbek,53.595549,10.050277,48,mid,True,False,2,0.16
E0005,Norderstedt-Glashuette,53.684013,10.067136,42,junior,True,True,1,0.25
E0006,Ahrensburg,53.66769,10.248693,19,junior,True,False,0,0.591
E0007,St. Georg / Altstadt,53.544914,10.020719,48,senior,False,False,1,0.809
E0008,Altona,53.537425,9.917479,40,mid,False,True,2,0.671
E0009,Norderstedt-Glashuette,53.689693,10.022969,40,senior,True,False,2,0.108
E0010,Schnelsen,53.606947,9.898917,37,senior,False,False,0,0.235
E0011,Fuhlsbuettel,53.636244,10.043672,22,mid,True,False,2,0.904
E0012,Wedel,53.596778,9.696571,33,mid,False,True,2,0.328
E0013,Eimsbuettel,53.580825,9.940314,26,mid,False,True,0,0.708
E0014,Rahlstedt,53.608367,10.143851,36,mid,True,False,0,0.787
E0015,Schnelsen,53.629906,9.916537,28,junior,True,False,0,0.586
E0016,Quickborn,53.735206,9.86874,42,mid,False,True,1,0.651
E0017,Ohlsdorf,53.626598,10.050419,37,senior,False,False,2,0.795
E0018,Norderstedt-Mitte,53.700349,9.952158,49,mid,True,False,0,0.306
E0019,Rahlstedt,53.599744,10.174601,47,junior,False,False,2,0.495
E0020,Eppendorf,53.585866,9.978553,44,mid,True,False,0,0.862
E0021,St. Georg / Altstadt,53.552188,10.026878,38,mid,True,True,1,0.232
E0022,Langenhorn,53.65484,10.018866,29,junior,True,False,1,0.236
E0023,Ahrensburg,53.687211,10.180908,24,junior,True,False,0,0.813
E0024,Harburg,53.466415,9.977741,44,mid,True,True,0,0.103
E0025,Altona,53.530218,9.936952,51,mid,False,False,0,0.375
E0026,Henstedt-Ulzburg,53.819124,10.002991,30,junior,True,False,2,0.575
E0027,Poppenbuettel,53.638111,10.086653,34,junior,True,False,2,0.501
E0028,Norderstedt-Mitte,53.694179,10.006251,41,senior,False,True,0,0.747
E0029,Garstedt,53.691172,9.963531,39,junior,True,False,1,0.59
E0030,Barmbek,53.59809,10.044709,31,mid,False,False,1,0.715
E0031,Wandsbek,53.574544,10.075014,34,senior,True,True,1,0.512
E0032,Ahrensburg,53.668364,10.254426,28,mid,True,False,2,0.32
E0033,Langenhorn,53.673287,9.982713,36,mid,False,True,2,0.76
E0034,Fuhlsbuettel,53.649799,10.014582,42,junior,True,False,2,0.428
E0035,Poppenbuettel,53.659364,10.090506,41,senior,True,False,2,0.852
E0036,Henstedt-Ulzburg,53.785628,9.996012,26,mid,True,False,1,0.428
E0037,Norderstedt-Glashuette,53.670355,10.044813,38,junior,True,False,3,0.837
E0038,Poppenbuettel,53.67358,10.076475,19,mid,True,False,2,0.481
E0039,Quickborn,53.717901,9.91248,24,junior,True,False,2,0.44
E0040,Eimsbuettel,53.576756,9.935404,32,junior,True,True,1,0.437
E0041,Schnelsen,53.612667,9.914204,31,junior,False,False,2,0.7
E0042,Rahlstedt,53.602081,10.16621,53,senior,False,False,0,0.167
E0043,Barmbek,53.596583,10.052938,54,mid,True,True,1,0.788
E0044,Langenhorn,53.649331,10.049324,40,junior,True,False,0,0.307
E0045,Rahlstedt,53.59197,10.177051,41,mid,True,False,2,0.786
E0046,Altona,53.535406,9.943749,46,mid,True,False,0,0.821
E0047,Fuhlsbuettel,53.639444,10.011402,35,mid,True,False,3,0.643
E0048,Tangstedt,53.736767,10.098819,40,mid,True,False,1,0.389
E0049,Barmbek,53.591096,10.021511,56,junior,False,True,3,0.343
E0050,Garstedt,53.696062,9.984809,45,senior,True,False,2,0.093
E0051,Henstedt-Ulzburg,53.79774,9.965553,46,mid,True,False,3,0.29
E0052,Norderstedt-Mitte,53.713552,10.000862,32,mid,True,False,3,0.571
E0053,Altona,53.580637,9.907848,57,senior,False,True,0,0.354
E0054,Eimsbuettel,53.569034,9.953903,29,junior,False,True,2,0.506
E0055,Barmbek,53.589452,10.068022,66,mid,False,True,3,0.461
E0056,Altona,53.535626,9.90457,48,mid,True,False,1,0.641
E0057,Schnelsen,53.643526,9.942644,53,mid,True,False,0,0.567
E0058,Ohlsdorf,53.63257,10.054594,38,junior,True,True,3,0.583
E0059,Garstedt,53.697057,9.980047,32,senior,True,False,0,0.779
E0060,Norderstedt-Glashuette,53.68563,10.034566,56,mid,True,False,2,0.506
E0061,Eimsbuettel,53.554362,9.94511,41,junior,True,True,0,0.63
E0062,Poppenbuettel,53.652424,10.098791,42,mid,False,False,3,0.27
E0063,Ohlsdorf,53.616125,10.018923,66,mid,True,True,0,0.289
E0064,St. Georg / Altstadt,53.539584,9.998445,42,junior,True,True,1,0.534
E0065,Eppendorf,53.587151,9.990545,47,junior,False,False,1,0.205
E0066,Ohlsdorf,53.616653,10.054557,29,junior,True,True,1,0.614
E0067,Ohlsdorf,53.645555,10.036519,50,junior,True,False,3,0.202
E0068,Bad Bramstedt,53.933324,9.882184,55,senior,True,True,3,0.693
E0069,Norderstedt-Mitte,53.700059,9.978494,27,junior,True,False,3,0.553
E0070,Niendorf,53.636175,9.975213,29,mid,True,False,1,0.857
E0071,Henstedt-Ulzburg,53.808072,10.011701,32,mid,True,False,1,0.368
E0072,Niendorf,53.619141,9.965712,36,senior,True,False,0,0.511
E0073,Billstedt,53.536271,10.110918,34,mid,True,False,0,0.375
E0074,Quickborn,53.737321,9.904197,43,mid,True,False,3,0.709
E0075,Norderstedt-Mitte,53.708785,10.014442,23,senior,False,False,0,0.385
E0076,Ellerau,53.747819,9.936029,19,junior,True,False,0,0.283
E0077,Tangstedt,53.740082,10.046073,54,junior,True,False,2,0.111
E0078,Eimsbuettel,53.574662,9.96851,20,senior,True,True,3,0.491
E0079,Ohlsdorf,53.623074,10.01988,45,senior,True,False,1,0.873
E0080,Altona,53.549038,9.946084,26,mid,True,False,0,0.672
E0081,Eimsbuettel,53.571916,9.971684,21,senior,True,True,0,0.147
E0082,Niendorf,53.62771,9.957994,23,mid,True,False,2,0.311
E0083,St. Pauli,53.547426,9.963753,21,junior,True,True,0,0.684
E0084,Garstedt,53.697164,9.951529,61,junior,True,False,1,0.266
E0085,Norderstedt-Mitte,53.699723,10.011687,43,mid,True,False,2,0.755
E0086,Norderstedt-Glashuette,53.680323,10.078914,51,mid,False,False,1,0.261
E0087,Wandsbek,53.581655,10.097168,48,mid,True,True,3,0.293
E0088,Schnelsen,53.601047,9.897259,53,mid,True,False,0,0.668
E0089,Garstedt,53.690238,9.970974,37,mid,True,False,2,0.397
E0090,Volksdorf,53.653185,10.181027,33,mid,True,False,1,0.775
E0091,Garstedt,53.693986,9.997118,40,senior,True,False,3,0.351
E0092,Barmbek,53.590567,10.058162,32,mid,True,True,1,0.536
E0093,Schnelsen,53.629177,9.899872,44,mid,True,False,2,0.216
E0094,Fuhlsbuettel,53.638493,9.983984,40,mid,True,True,0,0.915
E0095,Bad Bramstedt,53.911272,9.907085,37,junior,False,False,3,0.538
E0096,Eppendorf,53.588465,9.9526,47,senior,True,False,1,0.449
E0097,Langenhorn,53.644105,10.034966,38,junior,True,False,1,0.929
E0098,Norderstedt-Glashuette,53.691563,10.02116,33,junior,False,False,1,0.266
E0099,Norderstedt-Glashuette,53.684468,10.047129,32,junior,True,False,0,0.183
E0100,Halstenbek,53.633019,9.861189,40,mid,True,True,0,0.606
E0101,Blankenese,53.568948,9.807203,39,mid,True,True,1,0.602
E0102,Barmbek,53.579113,10.050884,45,junior,True,True,3,0.163
E0103,Kaltenkirchen,53.832342,9.984955,46,senior,True,False,3,0.559
E0104,Ahrensburg,53.680232,10.283616,21,senior,True,True,0,0.327
E0105,Altona,53.524544,9.966354,45,mid,False,False,0,0.476
E0106,Barmbek,53.597528,10.044151,38,mid,False,False,2,0.731
E0107,Schnelsen,53.645644,9.916743,33,senior,False,False,0,0.759
E0108,Kaltenkirchen,53.844805,9.960553,66,junior,True,False,2,0.647
E0109,Norderstedt-Glashuette,53.681706,10.043641,23,junior,False,False,0,0.147
E0110,Harburg,53.438721,9.958727,35,junior,True,False,0,0.421
E0111,Schnelsen,53.616,9.894804,35,mid,True,False,1,0.773
E0112,Henstedt-Ulzburg,53.796911,9.9238,43,mid,True,False,1,0.755
E0113,Bad Bramstedt,53.917777,9.86441,42,senior,False,True,0,0.516
E0114,Winterhude,53.607188,10.001778,30,mid,False,False,2,0.523
E0115,Garstedt,53.70124,9.959181,38,senior,True,True,0,0.889
E0116,Billstedt,53.533723,10.109661,35,mid,True,False,2,0.225
E0117,St. Georg / Altstadt,53.574429,9.994369,41,junior,False,False,2,0.313
E0118,Wandsbek,53.561252,10.134413,36,mid,True,False,1,0.872
E0119,Niendorf,53.635127,9.965977,42,junior,True,False,3,0.905
E0120,Eppendorf,53.57506,9.98488,44,mid,False,True,2,0.548
E0121,Winterhude,53.599783,9.994455,36,junior,False,False,0,0.878
E0122,Eimsbuettel,53.57784,9.946586,48,mid,False,False,1,0.819
E0123,Norderstedt-Glashuette,53.702043,10.031672,38,mid,True,False,0,0.556
E0124,Niendorf,53.635313,9.932216,34,junior,True,False,0,0.235
E0125,Norderstedt-Mitte,53.71315,9.987283,43,mid,True,True,0,0.225
E0126,Poppenbuettel,53.666678,10.063564,56,junior,True,True,3,0.532
E0127,Langenhorn,53.64842,9.992823,27,mid,False,False,1,0.932
E0128,Garstedt,53.688885,9.981544,19,mid,True,False,2,0.108
E0129,Norderstedt-Glashuette,53.668576,10.040947,34,junior,True,True,1,0.167
E0130,Winterhude,53.601693,9.978853,41,mid,False,False,3,0.266
E0131,Garstedt,53.665544,9.970627,52,mid,True,True,2,0.485
E0132,Wedel,53.576696,9.689476,50,mid,True,False,0,0.62
E0133,Winterhude,53.582439,9.987663,32,mid,False,False,0,0.368
E0134,Langenhorn,53.644797,10.044542,41,mid,True,False,0,0.39
E0135,Winterhude,53.588664,10.002993,33,mid,True,False,0,0.599
E0136,Norderstedt-Mitte,53.70345,9.993399,42,mid,True,False,1,0.055
E0137,Halstenbek,53.629951,9.856472,38,senior,True,False,0,0.643
E0138,Poppenbuettel,53.661713,10.104075,41,mid,True,False,2,0.484
E0139,Altona,53.55495,9.907307,53,junior,True,False,1,0.342
E0140,Norderstedt-Glashuette,53.689435,10.044573,33,mid,True,False,3,0.356
E0141,Poppenbuettel,53.665619,10.033577,43,mid,True,True,3,0.59
E0142,Poppenbuettel,53.670671,10.065361,44,junior,True,False,0,0.554
E0143,Pinneberg,53.656198,9.772808,49,mid,True,False,0,0.655
E0144,Ohlsdorf,53.615154,10.010019,59,junior,True,False,1,0.474
E0145,Poppenbuettel,53.654993,10.057194,19,mid,True,False,0,0.237
E0146,Kaltenkirchen,53.84077,9.965682,28,mid,True,False,3,0.606
E0147,Langenhorn,53.662371,10.007606,50,junior,True,False,2,0.166
E0148,Bramfeld,53.60664,10.087239,37,mid,True,False,2,0.284
E0149,Schnelsen,53.635147,9.928922,38,junior,False,False,0,0.619
E0150,Norderstedt-Mitte,53.705697,10.002528,65,senior,True,False,1,0.589
E0151,Rahlstedt,53.59725,10.161669,50,junior,True,False,1,0.371
E0152,Harburg,53.446261,10.003257,36,mid,True,False,0,0.299
E0153,Garstedt,53.685708,9.990308,32,junior,True,False,0,0.491
E0154,Ohlsdorf,53.650339,10.006036,32,mid,True,False,1,0.386
E0155,Norderstedt-Glashuette,53.692574,10.054174,36,mid,True,True,2,0.299
E0156,Eimsbuettel,53.59774,9.964996,48,mid,True,True,1,0.564
E0157,Ellerau,53.749138,9.914423,39,mid,True,False,1,0.371
E0158,Eimsbuettel,53.584545,9.972836,55,mid,True,True,1,0.628
E0159,Wandsbek,53.563001,10.080696,32,junior,False,False,0,0.55
E0160,St. Georg / Altstadt,53.542406,10.034004,30,mid,True,False,3,0.178
E0161,Norderstedt-Glashuette,53.696492,10.052489,34,mid,True,True,0,0.693
E0162,Blankenese,53.574176,9.798477,44,mid,True,False,1,0.063
E0163,Quickborn,53.737245,9.915045,38,senior,True,True,3,0.178
E0164,Norderstedt-Mitte,53.692183,10.033449,34,senior,True,False,1,0.598
